HTS Number,Description,Year,January,February,March,April,May,June,July,August,September,October,November,December,Variable
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",2020,0,"128,189",0,0,"177,300",0,"91,443",0,"177,300",0,0,0,General CIF Imports Value
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",2020,0,"19,547",0,0,0,0,"3,667","77,576",0,0,"35,739","233,405",General CIF Imports Value
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",2020,"2,054,700","2,515,810","774,639","526,130","1,004,867","2,022,975","3,270,546","2,128,806","4,305,899","2,631,217","2,082,427","3,657,213",General CIF Imports Value
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",2020,0,0,0,0,0,0,0,"23,586",0,0,0,0,General CIF Imports Value
0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",2020,0,0,0,0,0,0,0,0,0,0,"8,766",0,General CIF Imports Value
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",2020,0,0,0,0,0,0,"485,373","473,877",0,0,"27,907","2,366",General CIF Imports Value
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2020,0,0,0,0,0,"3,065",0,0,0,0,0,0,General CIF Imports Value
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,2020,0,0,0,0,0,0,0,0,0,0,"7,300",0,General CIF Imports Value
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",2020,0,0,0,0,0,0,0,"3,061",0,0,0,0,General CIF Imports Value
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",2020,"15,262",0,0,0,0,0,0,0,0,"5,300",0,"7,872",General CIF Imports Value
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,2020,0,0,0,"2,465",0,0,0,0,0,0,0,0,General CIF Imports Value
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",2020,0,0,0,0,0,"3,188",0,0,0,0,0,0,General CIF Imports Value
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,0,"6,001",0,0,0,0,0,"4,822",0,"25,023",0,0,General CIF Imports Value
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,"90,000","38,485","16,852",0,0,0,0,0,0,0,"12,518","2,688",General CIF Imports Value
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,2020,"1,025",548,0,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",General CIF Imports Value
