HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,Variable
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",2020,kilograms,0,"20,684",0,0,"28,024",0,"14,476",0,"28,024",0,0,0,General First Unit of Quantity
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",2020,kilograms,0,"3,737",0,0,0,0,209,"8,400",0,0,"3,555","25,546",General First Unit of Quantity
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",2020,kilograms,"113,739","126,528","38,540","25,048","71,133","157,506","211,481","120,778","229,247","122,503","102,149","151,870",General First Unit of Quantity
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",2020,kilograms,0,0,0,0,0,0,0,"2,004",0,0,0,0,General First Unit of Quantity
0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",2020,kilograms,0,0,0,0,0,0,0,0,0,0,"11,651",0,General First Unit of Quantity
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",2020,kilograms,0,0,0,0,0,0,"61,752","94,500",0,0,"2,830",500,General First Unit of Quantity
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2020,proof liters,0,0,0,0,0,223,0,0,0,0,0,0,General First Unit of Quantity
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,2020,metric tons,0,0,0,0,0,0,0,0,0,0,18,0,General First Unit of Quantity
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",2020,number,0,0,0,0,0,0,0,1,0,0,0,0,General First Unit of Quantity
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",2020,carats,"11,303",0,0,0,0,0,0,0,0,"1,732",0,72,General First Unit of Quantity
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,2020,number,0,0,0,1,0,0,0,0,0,0,0,0,General First Unit of Quantity
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",2020,dozens,0,0,0,0,0,1,0,0,0,0,0,0,General First Unit of Quantity
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,grams,0,3,0,0,0,0,0,0,0,0,0,0,General First Unit of Quantity
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,kilograms,0,0,0,0,0,0,0,8,0,3,0,0,General First Unit of Quantity
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,kilograms,0,176,0,0,0,0,0,0,0,0,0,0,General First Unit of Quantity
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,General First Unit of Quantity
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,number,175,0,1,0,0,0,0,0,0,0,1,0,General First Unit of Quantity
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,2020,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,General First Unit of Quantity
