HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
030331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",2020,Greenland,0,"124,349",0,0,"176,550",0,"91,200",0,"176,550",0,0,0,Customs Value
030471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,"232,655",Customs Value
030483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",2020,Greenland,0,"19,164",0,0,0,0,"3,582","75,000",0,0,"35,224",0,Customs Value
030614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",2020,Greenland,"1,939,209","2,491,913","772,409","518,130","846,603","1,755,402","3,013,837","1,941,687","4,170,723","2,614,830","2,067,594","3,622,250",Customs Value
030616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",2020,Greenland,0,0,0,0,"144,700","233,927","215,408","161,808","106,432",0,0,0,Customs Value
030617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",2020,Greenland,"92,568",0,0,0,0,0,0,0,0,0,0,0,Customs Value
030722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",2020,Greenland,0,0,0,0,0,0,0,"23,115",0,0,0,0,Customs Value
070519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,"7,566",0,Customs Value
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",2020,Greenland,0,0,0,0,0,0,"465,753","454,966",0,0,"27,505","2,330",Customs Value
220850,GIN AND GENEVA,2020,Greenland,0,0,0,0,0,"3,007",0,0,0,0,0,0,Customs Value
252910,FELDSPAR,2020,Greenland,0,0,0,0,0,0,0,0,0,0,"5,500",0,Customs Value
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",2020,Greenland,0,0,0,0,0,0,0,"2,141",0,0,0,0,Customs Value
710391,"RUBIES, SAPPHIRES AND EMERALDS, OTHERWISE WORKED",2020,Greenland,0,0,0,0,0,0,0,0,0,"5,000",0,"7,422",Customs Value
710399,"SEMIPRECIOUS STONES, OTHERWISE WORKED",2020,Greenland,"14,812",0,0,0,0,0,0,0,0,0,0,0,Customs Value
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",2020,Greenland,0,0,0,"2,241",0,0,0,0,0,0,0,0,Customs Value
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",2020,Greenland,0,0,0,0,0,"3,146",0,0,0,0,0,0,Customs Value
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,0,"6,000",0,0,0,0,0,"3,822",0,"25,000",0,0,Customs Value
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,"85,000","38,430","16,777",0,0,0,0,0,0,0,"12,463","2,633",Customs Value
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,2020,Greenland,"1,025",548,0,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",Customs Value
